"PM2.5","PM10","SO2","NO2","O3"
13,44,2,11,83
6,42,2,11,83
10,44,2,11,84
10,60,2,14,79
8,40,2,16,76
5,37,3,14,77
9,20,3,15,74
8,12,2,14,74
6,7,2,15,73
8,8,2,17,70
8,8,3,18,66
15,15,6,39,46
16,16,7,45,40
14,18,7,52,33
19,24,8,70,18
20,21,7,57,28
20,20,5,50,35
14,14,5,37,50
18,18,5,37,53
16,20,8,39,54
16,24,7,33,60
21,24,7,45,53
30,31,11,53,49
41,41,14,52,56
40,40,11,37,70
40,43,14,41,64
53,53,21,44,64
56,64,25,43,65
50,65,20,54,50
54,62,19,60,40
56,71,21,77,22
62,62,18,70,28
50,54,17,65,33
55,57,22,57,38
77,77,28,68,24
86,86,28,77,12
93,93,29,83,7
95,96,28,84,8
104,116,31,91,10
120,133,28,85,9
110,113,25,82,8
97,104,34,82,9
107,117,42,90,10
102,102,44,82,21
100,101,41,80,33
112,112,38,92,40
115,115,35,102,39
114,114,35,96,48
108,108,32,91,55
99,99,29,73,73
109,109,28,78,69
115,115,29,86,61
136,136,32,83,65
152,152,40,105,44
173,173,41,119,33
189,189,45,123,28
203,203,47,140,14
199,199,40,136,11
209,209,39,139,10
227,227,47,149,12
227,227,45,148,12
214,214,41,143,13
248,248,47,149,15
237,237,39,132,13
212,212,31,120,10
201,201,32,116,10
204,204,46,133,11
100,100,15,124,41
123,123,26,139,21
145,145,35,116,31
164,164,35,137,12
162,162,35,137,9
144,144,33,113,9
126,131,38,102,11
136,139,40,106,7
193,194,40,136,10
237,237,46,148,14
262,262,51,145,15
256,256,50,132,14
243,243,38,120,11
243,243,40,118,10
262,262,42,118,10
292,292,63,113,14
316,316,79,113,23
322,322,79,126,30
336,336,78,131,40
344,344,77,128,50
342,342,69,120,59
318,318,58,99,83
315,315,54,106,81
327,327,45,116,67
342,342,40,140,40
356,356,41,173,11
369,369,44,168,11
397,397,45,173,10
404,404,43,166,10
409,409,50,173,11
403,403,77,167,10
371,371,85,149,9
319,319,82,130,8
311,311,72,130,8
303,303,71,119,7
292,292,64,114,7
285,285,66,113,8
283,283,73,110,8
292,292,74,114,9
305,305,79,117,11
328,328,72,127,11
335,335,72,128,11
347,347,73,133,12
339,339,73,130,17
306,306,70,121,22
308,308,66,129,16
305,305,66,133,16
305,305,59,140,13
321,321,53,152,10
389,389,61,170,12
397,397,57,156,11
326,326,54,127,12
132,270,29,46,45
89,164,22,44,46
131,597,7,22,55
109,522,2,18,61
72,423,2,14,67
67,395,2,12,68
58,374,2,13,69
56,358,2,14,69
56,332,2,21,63
51,295,2,25,60
46,276,2,21,65
50,247,2,18,71
43,268,2,16,75
44,276,2,15,79
45,230,2,15,80
48,185,2,16,83
48,176,2,16,85
49,192,2,16,86
50,204,2,17,84
48,197,2,22,77
48,183,2,31,66
47,182,3,40,53
48,190,4,43,48
44,154,6,52,39
64,171,18,88,10
62,149,13,91,7
52,130,10,87,7
50,126,14,86,6
56,131,21,89,7
67,127,19,84,8
60,103,14,79,7
38,68,9,75,5
24,55,8,68,8
25,52,7,62,15
27,65,9,54,26
41,109,29,59,30
65,171,40,71,30
87,218,48,74,35
103,244,48,77,39
116,276,53,82,41
128,306,59,89,40
125,312,57,91,41
131,317,57,102,31
141,354,63,125,10
132,268,55,115,8
112,216,48,102,9
112,218,45,106,8
96,211,42,107,7
113,246,52,107,6
120,265,57,107,6
122,268,45,103,6
132,265,54,107,8
130,230,48,105,10
91,165,32,88,10
41,65,16,68,18
31,34,9,51,32
12,50,8,43,40
16,40,9,34,51
15,29,5,24,66
7,36,2,14,80
4,22,2,16,86
16,42,2,15,92
11,30,2,16,93
6,28,2,15,93
6,51,2,14,91
8,57,2,15,88
11,57,2,17,85
7,39,2,21,77
11,37,2,21,73
5,29,2,18,75
3,21,2,17,75
8,18,2,15,76
10,23,2,15,72
7,32,2,21,64
3,36,3,28,55
11,34,3,24,58
11,28,2,19,61
13,18,2,13,69
10,21,2,10,75
9,20,2,13,74
8,18,2,18,69
6,27,2,19,68
3,14,2,15,74
16,18,3,13,77
14,16,4,14,80
9,17,4,15,82
11,18,5,15,84
12,12,4,14,89
11,18,3,15,88
16,17,3,17,86
7,15,3,22,78
8,17,2,24,71
12,15,4,26,67
4,8,2,22,69
8,8,3,22,68
3,13,3,22,65
6,9,3,18,67
4,5,2,15,67
3,5,2,12,69
8,8,2,11,69
3,7,2,16,55
10,10,2,15,59
5,5,3,16,59
7,7,5,26,48
8,13,7,31,44
9,13,5,21,57
9,17,4,15,63
7,15,3,14,66
3,8,3,15,69
10,10,4,15,72
11,11,3,13,77
18,18,3,14,78
10,13,3,14,78
9,17,2,18,73
7,17,2,23,66
7,18,3,31,56
11,20,2,35,51
6,27,2,35,48
6,29,2,32,49
4,27,2,28,51
10,27,2,17,62
4,21,2,16,63
4,18,2,16,61
6,19,2,18,59
14,20,3,23,53
6,16,4,27,49
5,14,4,26,51
11,15,5,33,44
10,26,8,37,42
15,51,9,30,50
13,39,4,16,66
7,34,4,15,69
15,31,3,14,73
12,42,4,15,76
13,48,3,14,80
5,43,2,19,70
11,64,2,25,66
9,79,2,24,65
11,83,3,35,50
8,83,4,48,35
13,80,4,43,40
10,68,4,45,37
14,69,6,65,18
18,69,7,58,23
20,68,8,71,6
13,48,3,39,32
13,48,5,38,35
21,51,6,59,21
39,59,9,73,10
15,46,10,67,19
13,38,8,44,41
10,34,6,25,57
6,21,3,14,67
9,20,4,17,67
12,12,3,17,70
12,14,3,19,72
16,16,3,20,73
20,37,5,27,70
25,44,6,32,69
29,56,7,38,65
29,65,7,42,58
29,64,7,58,42
35,64,8,65,36
37,68,10,79,25
43,76,14,93,15
50,86,19,96,11
62,91,23,77,20
69,102,29,88,9
70,96,30,77,13
70,96,30,83,6
72,100,30,84,5
79,98,30,80,8
78,97,28,85,4
87,135,33,89,6
96,138,47,83,10
99,133,53,80,17
107,137,56,82,23
110,137,56,85,31
114,129,60,78,45
102,114,52,66,58
103,114,54,74,55
109,127,55,82,50
110,125,52,86,44
115,122,51,93,41
119,133,49,115,20
133,159,48,132,5
147,172,52,135,4
154,172,49,134,6
140,161,47,132,5
152,166,52,137,5
72,89,19,62,25
19,42,6,36,38
14,28,6,32,42
12,35,6,27,51
6,28,7,23,57
5,20,6,21,67
7,19,7,32,58
10,29,8,31,60
10,28,6,21,72
8,27,5,17,78
10,28,5,17,81
7,28,4,15,87
9,26,4,14,89
10,18,3,13,94
9,17,3,12,96
9,20,3,12,98
14,23,3,14,95
8,23,3,19,89
15,28,4,36,72
24,48,6,48,63
30,63,9,53,55
38,81,20,72,35
49,102,26,63,41
56,110,26,59,42
63,111,30,64,35
75,118,33,62,35
78,110,32,67,25
85,127,25,82,12
99,146,18,82,8
101,140,13,73,7
93,121,15,74,8
88,128,24,77,11
98,147,38,79,15
107,147,46,69,30
123,164,42,76,40
109,140,32,78,47
112,132,28,92,51
90,112,22,81,67
61,77,12,45,95
32,61,7,30,98
43,60,9,41,91
45,67,11,69,63
50,81,12,113,21
58,116,22,101,25
63,115,32,81,35
76,131,47,79,33
92,159,65,69,42
99,178,57,59,50
107,182,56,67,38
119,188,64,70,33
106,161,52,61,38
96,126,44,52,41
89,116,34,53,40
91,116,32,70,29
97,129,37,88,15
102,136,40,84,20
111,136,38,77,32
141,160,36,76,39
153,180,61,67,58
164,196,82,70,70
166,196,74,71,80
163,199,63,76,76
167,199,58,106,44
173,217,55,132,18
180,218,55,134,15
186,223,47,144,8
207,258,59,133,9
216,257,48,121,9
219,250,46,109,11
213,232,41,96,15
195,198,31,94,15
236,258,33,126,13
239,261,29,127,13
238,261,25,124,12
232,264,26,120,12
224,250,35,123,13
236,242,45,109,24
249,264,50,117,38
266,279,50,131,51
268,277,55,122,83
239,239,55,60,148
251,251,58,50,170
259,259,57,54,171
251,251,57,57,169
249,249,55,69,145
288,288,55,80,122
299,299,48,109,79
279,279,43,115,71
275,275,39,108,68
254,254,34,96,67
231,231,30,88,64
221,221,26,81,59
225,225,22,121,26
230,230,18,134,6
219,219,18,117,5
220,220,18,117,6
222,222,21,115,6
230,230,26,118,8
252,254,35,126,9
265,265,49,125,17
289,289,53,132,24
296,296,56,132,41
297,297,54,121,65
293,293,52,101,98
290,290,49,82,130
270,270,47,66,147
262,262,45,62,157
264,264,46,74,147
276,276,44,86,131
299,299,41,99,101
304,304,32,122,51
310,310,32,195,8
311,311,28,194,9
331,331,27,206,10
344,344,25,200,10
362,362,26,187,10
367,367,23,174,9
363,363,24,169,8
357,357,21,161,8
352,352,18,148,8
334,334,22,125,6
329,329,30,122,10
324,324,37,116,28
299,299,36,98,59
268,268,28,80,85
199,199,18,49,117
117,117,9,29,124
83,83,7,25,123
64,76,6,23,125
46,46,5,26,119
52,52,4,24,116
41,41,3,25,107
36,47,4,49,74
24,24,4,70,41
14,14,4,55,52
16,19,5,41,65
19,24,5,38,63
10,25,4,42,55
40,71,8,56,46
163,194,35,92,41
204,221,46,103,35
181,181,45,86,47
119,123,41,43,62
86,108,34,39,59
87,111,28,52,45
68,99,22,50,44
53,97,18,38,54
55,113,20,45,50
60,118,25,45,57
61,106,25,46,60
54,87,21,38,69
37,71,15,28,80
30,77,11,28,84
40,88,12,32,82
42,102,12,37,78
41,107,10,42,74
41,120,10,50,64
61,150,16,61,44
60,124,15,61,37
67,95,19,61,37
44,60,14,55,43
38,56,10,46,48
36,43,10,39,55
36,48,9,55,38
55,106,12,89,5
67,109,12,86,4
71,100,12,83,4
79,144,22,105,7
91,160,26,116,9
74,118,25,103,25
93,156,25,119,32
88,113,21,90,63
63,63,16,58,93
44,44,12,38,104
35,35,12,43,106
32,34,12,44,105
44,55,12,62,98
42,71,13,75,87
56,83,15,83,84
67,98,16,115,54
80,136,19,111,54
86,119,20,92,69
92,131,28,87,71
99,134,29,95,58
104,142,28,95,51
106,138,22,98,43
104,135,20,111,32
115,155,15,141,5
132,192,18,157,6
136,206,14,156,7
153,211,13,159,7
155,216,22,161,8
169,220,30,165,11
150,194,25,138,27
170,224,25,161,33
112,149,20,64,103
105,154,25,58,113
114,181,30,56,118
114,169,32,58,124
121,173,33,60,132
126,176,34,59,131
129,177,35,65,116
134,179,31,70,103
140,175,30,82,83
142,178,33,87,70
149,177,39,83,65
153,180,40,88,53
157,199,33,115,19
167,196,29,144,4
182,247,31,171,6
203,289,32,166,7
197,267,29,154,6
174,223,27,135,5
167,220,33,130,5
159,223,42,124,8
133,255,68,107,16
118,281,68,91,27
98,251,55,77,38
101,256,49,81,38
98,237,43,76,44
92,216,36,72,49
83,206,30,70,50
77,195,27,69,49
64,172,24,58,55
50,146,18,51,55
48,159,15,54,48
52,156,14,61,40
62,150,15,66,36
73,184,18,85,16
83,192,19,88,8
95,188,19,92,4
93,157,17,91,3
76,135,16,90,3
66,99,16,90,2
45,50,13,86,7
16,16,4,29,45
3,42,2,26,63
10,30,2,16,76
16,16,2,13,82
7,20,2,13,87
3,18,2,15,87
4,26,3,26,76
9,29,4,33,66
16,31,4,44,54
7,27,4,39,57
5,28,4,37,58
3,17,3,32,61
5,14,3,32,58
4,15,4,51,38
11,18,4,63,28
9,12,3,51,39
8,23,4,58,32
10,23,4,72,20
8,26,5,92,5
12,32,5,67,29
9,26,4,37,58
16,22,3,17,84
3,18,3,16,95
15,28,4,15,98
6,14,4,18,95
9,13,4,16,97
16,18,5,19,94
16,52,5,23,88
19,34,4,40,67
12,45,5,66,35
30,51,5,58,48
30,65,7,82,26
27,52,5,68,27
18,39,5,69,21
9,31,5,58,31
3,21,3,53,34
10,20,3,60,26
20,37,5,73,5
41,104,17,84,4
52,129,27,85,5
52,101,20,82,6
20,29,6,61,25
13,34,3,39,48
16,35,4,31,60
10,22,6,19,79
23,38,2,19,98
15,19,2,18,95
15,32,2,33,78
17,52,3,52,58
27,48,4,60,55
28,54,5,75,40
40,74,7,93,22
39,76,7,102,10
26,46,4,91,12
15,19,2,49,42
10,18,2,48,40
9,16,2,38,48
7,19,2,30,55
6,21,3,29,55
9,29,4,35,50
8,31,5,36,50
11,45,6,26,62
9,57,4,19,70
14,33,3,17,77
12,28,3,15,84
11,25,4,17,86
14,23,4,16,90
10,26,3,16,93
17,31,2,14,97
7,27,2,18,93
16,28,2,24,86
8,21,2,33,72
10,33,2,41,59
7,27,2,32,61
11,25,2,40,51
7,22,2,43,46
6,21,2,44,44
9,19,2,50,38
6,20,2,63,25
9,22,3,47,34
12,18,5,39,38
9,26,6,56,23
5,29,6,41,35
12,25,6,41,38
7,34,6,33,48
9,45,5,32,52
9,39,3,25,63
15,36,2,24,70
15,19,2,13,84
17,17,2,9,90
3,14,2,9,93
12,12,2,12,96
18,31,2,15,113
17,40,2,16,110
19,48,2,25,98
18,50,2,38,80
24,71,2,70,50
34,88,5,73,45
35,93,7,81,35
45,101,9,73,36
46,111,14,65,38
58,129,22,65,33
61,133,28,70,28
67,131,32,75,23
72,129,32,79,15
70,130,30,90,5
75,153,25,85,6
82,152,24,94,6
94,189,18,102,7
98,227,22,114,8
102,222,23,125,10
105,202,23,127,15
109,173,20,121,27
121,198,23,131,30
119,185,25,119,50
122,158,23,99,74
99,130,21,76,93
98,131,20,75,90
86,135,21,70,95
89,170,19,77,88
57,525,2,31,62
47,575,2,16,66
23,222,2,12,70
10,144,2,10,74
11,126,2,9,79
7,66,2,7,78
4,15,2,10,72
10,11,2,15,65
4,5,2,15,64
7,10,2,25,58
7,17,2,37,45
9,37,2,78,6
12,82,3,74,12
3,48,3,63,27
20,35,2,46,49
14,49,2,34,69
15,58,4,26,80
23,62,3,19,94
23,68,3,17,103
18,50,3,19,104
17,66,4,22,105
24,74,6,27,102
23,88,5,30,103
31,110,5,37,92
37,148,7,57,70
42,150,12,53,74
47,140,14,52,68
34,118,12,77,35
18,32,6,71,27
17,33,4,76,20
9,18,2,40,49
10,19,3,41,47
7,14,2,22,65
5,12,2,20,67
9,17,2,20,66
12,23,2,33,55
7,33,2,43,47
8,38,3,31,61
3,35,3,25,71
16,43,4,36,66
21,51,5,39,70
29,56,8,32,83
25,48,9,24,98
27,53,10,24,105
35,76,14,29,109
51,107,18,38,110
39,134,13,48,95
47,141,17,58,76
59,144,24,72,56
65,144,23,60,62
61,134,21,71,46
66,141,23,83,34
82,139,26,89,31
103,148,31,89,32
106,181,27,123,4
112,185,28,117,4
117,171,27,115,4
123,153,24,103,3
129,157,27,100,3
125,155,37,102,6
127,188,45,107,8
164,242,62,104,17
185,263,67,111,23
206,286,65,121,31
237,308,61,125,45
251,296,55,114,72
289,305,61,81,114
263,280,67,66,147
188,271,62,58,157
187,217,46,51,146
147,209,32,57,126
142,241,28,69,106
202,253,40,94,81
97,332,25,69,79
66,314,14,36,99
63,255,13,30,103
70,198,13,30,96
81,165,14,33,85
87,160,14,39,73
84,156,13,41,62
82,140,12,65,36
77,147,12,80,21
85,151,10,94,7
96,178,12,98,5
22,205,14,64,26
35,418,4,15,63
26,192,2,12,73
19,125,2,11,78
12,73,2,11,80
19,48,2,10,86
19,43,2,12,89
12,43,2,12,89
6,36,2,14,88
4,27,2,16,86
13,35,2,22,77
8,38,2,22,71
7,19,2,26,65
8,38,2,27,59
12,25,2,25,58
8,17,2,24,59
3,19,2,28,55
7,19,2,25,57
3,14,2,23,56
5,9,2,17,61
3,17,2,17,56
3,9,2,17,60
4,34,2,15,63
7,24,2,21,58
10,16,2,28,55
10,10,2,17,68
8,14,3,14,73
10,10,3,14,76
10,15,4,14,82
3,21,3,13,87
15,15,2,12,90
12,20,2,13,91
5,33,2,14,86
11,29,2,15,82
12,26,2,18,77
6,19,2,20,72
10,47,2,17,72
9,43,2,19,69
10,35,2,23,63
7,22,2,19,67
4,26,2,20,64
8,22,2,18,66
6,24,2,18,64
9,30,2,21,60
8,29,2,21,58
12,41,2,37,41
15,46,2,52,25
7,41,2,49,29
11,48,2,35,45
10,23,2,35,49
3,19,2,21,70
3,12,2,19,78
3,5,2,18,80
5,10,2,16,84
17,19,2,18,87
20,41,3,21,103
16,59,3,23,100
22,51,2,24,93
23,64,2,26,94
26,75,3,28,94
31,76,3,34,89
33,79,4,39,81
33,80,6,43,72
40,89,8,44,64
42,83,8,44,59
44,80,9,40,64
48,70,11,40,60
50,74,10,43,53
56,76,10,49,41
58,77,10,58,33
59,79,8,68,21
60,111,7,91,5
65,151,9,90,8
69,143,11,90,13
71,140,10,88,24
80,138,10,97,31
84,137,11,88,51
87,114,17,47,101
87,87,21,29,129
87,87,19,27,135
72,75,18,27,139
83,95,21,30,137
84,95,18,32,132
78,101,17,35,121
81,110,18,40,109
88,122,19,48,96
99,141,22,59,83
119,133,24,46,91
131,141,26,51,74
148,148,25,53,61
142,142,23,58,49
142,142,17,72,31
122,126,13,99,9
129,133,8,102,4
125,139,8,106,4
132,159,10,105,6
99,131,18,89,18
114,163,20,74,37
154,176,24,65,65
200,200,32,40,125
227,227,29,37,142
250,250,26,35,162
207,207,25,32,165
205,205,29,40,165
281,281,31,55,123
68,163,25,52,116
25,136,19,40,118
52,106,16,36,103
48,68,14,37,83
54,80,19,41,70
38,53,27,45,55
33,57,26,47,49
45,72,28,49,54
49,60,33,58,41
54,70,34,70,27
65,94,49,66,40
77,101,52,62,51
82,107,51,61,54
87,107,50,80,38
101,138,59,91,32
102,123,64,101,23
104,169,68,96,30
169,189,45,92,73
211,211,37,76,97
216,216,27,52,116
207,207,23,48,114
194,194,21,51,112
188,188,20,54,102
216,216,21,58,94
216,216,23,62,82
235,235,19,90,41
236,236,15,111,18
237,237,16,135,4
237,237,14,133,3
243,243,12,132,4
240,240,9,123,4
255,261,8,131,5
290,290,8,135,5
269,269,7,129,5
261,261,7,133,5
189,231,13,117,4
74,223,8,66,20
30,201,5,26,57
26,142,5,17,72
21,115,4,17,77
22,87,3,16,83
16,81,2,14,88
12,78,2,12,92
13,117,2,12,93
10,118,2,14,96
8,74,2,18,92
11,58,2,22,87
11,44,2,28,78
16,46,2,36,66
14,48,2,35,62
10,47,2,32,64
13,30,2,22,76
14,37,2,24,71
9,34,2,22,70
6,20,2,18,70
7,19,2,20,66
9,24,2,32,40
8,17,2,34,43
14,19,2,45,42
12,28,2,68,21
13,42,2,70,21
9,33,2,43,55
8,34,2,27,74
8,38,2,19,87
14,39,2,22,91
17,50,2,20,98
17,64,2,18,101
20,69,2,18,103
22,81,3,22,103
25,119,4,27,101
27,147,4,27,98
20,120,4,38,87
40,173,8,41,83
83,190,14,53,77
63,183,19,61,63
57,186,21,61,53
58,174,21,62,45
58,171,21,74,28
52,156,18,79,19
59,145,15,88,6
62,144,12,90,2
77,150,9,85,3
56,144,7,83,3
70,163,9,89,4
90,208,19,116,6
92,219,23,120,13
95,224,20,124,25
149,174,16,101,43
65,127,13,69,74
106,232,20,53,111
197,464,22,44,96
153,475,17,30,107
144,525,13,28,109
108,419,10,24,104
100,381,9,27,102
72,312,7,30,88
56,286,6,26,87
52,267,6,31,74
38,235,6,31,68
34,206,10,35,60
48,169,15,34,59
40,160,17,35,54
36,154,21,36,49
34,146,22,37,49
41,148,20,34,41
38,144,20,55,26
35,150,20,78,11
41,157,20,80,10
42,183,20,71,21
42,195,15,73,21
49,215,15,61,40
53,232,17,61,53
59,228,16,52,73
63,225,16,56,75
64,225,16,48,94
65,202,14,38,108
69,206,14,36,121
65,184,19,39,110
68,174,23,44,105
50,259,10,42,83
39,238,8,39,74
31,160,10,37,72
44,179,9,49,54
25,124,7,34,68
25,107,6,33,65
23,96,6,31,64
29,94,8,36,55
26,82,8,29,62
21,71,7,31,58
32,94,8,70,20
30,97,6,84,4
29,93,6,73,12
35,116,9,72,16
37,98,9,49,47
34,86,7,35,65
32,78,6,27,78
36,73,6,25,86
29,76,5,27,89
35,77,6,30,92
44,87,7,34,91
50,98,10,39,88
56,113,13,49,85
53,121,12,51,82
46,121,10,52,68
47,108,12,59,53
44,103,11,62,44
52,96,10,68,34
52,100,11,72,28
54,98,11,77,21
58,101,10,89,7
62,102,12,94,2
67,122,6,80,4
65,66,4,78,3
64,64,4,72,3
58,59,5,75,3
56,68,6,68,7
70,70,12,57,21
74,91,8,65,13
81,81,9,52,26
82,82,13,42,44
96,96,14,50,50
94,94,12,47,63
96,96,11,47,75
88,88,8,50,83
75,75,7,48,89
81,81,7,57,85
85,85,6,58,84
84,84,5,62,77
74,74,5,76,55
71,73,5,76,51
80,85,6,77,50
88,88,7,75,46
94,94,6,85,31
105,114,6,116,6
115,128,6,117,2
118,132,5,112,2
119,131,4,104,2
128,138,3,97,2
178,178,3,94,2
189,189,4,90,4
230,233,6,104,4
225,241,12,120,7
268,276,14,133,13
262,262,16,145,24
296,296,20,163,40
291,291,20,152,71
262,262,20,120,104
181,181,14,81,122
116,126,8,58,125
39,63,2,23,103
30,51,2,25,94
32,55,2,31,83
22,61,2,30,80
18,68,2,43,64
30,82,2,37,69
18,100,2,26,80
33,92,2,39,63
22,103,2,53,43
38,131,2,36,58
62,208,2,43,50
53,210,2,25,69
43,149,2,29,62
26,94,3,27,59
22,62,3,44,39
15,41,3,30,58
11,33,3,19,74
15,22,2,15,84
12,12,2,15,92
18,18,2,15,100
19,19,2,17,104
24,48,2,20,110
33,70,3,19,123
43,108,4,22,119
40,89,3,27,110
42,138,10,38,104
41,125,11,45,85
32,97,8,41,73
24,90,6,49,59
23,68,6,55,48
27,65,6,63,33
31,76,7,87,4
24,51,9,76,11
36,76,8,84,2
31,49,10,75,10
30,50,11,77,7
40,45,13,76,8
40,64,17,85,2
52,79,24,85,4
58,77,37,81,14
55,76,44,76,31
56,95,40,79,31
62,102,36,76,39
72,109,35,77,52
75,102,35,80,58
85,119,34,83,69
92,128,28,56,111
79,131,25,54,118
73,149,23,50,139
78,173,24,47,158
88,145,24,61,139
91,136,24,115,39
91,159,21,109,33
52,148,9,35,67
45,88,7,19,76
43,68,6,17,77
23,45,4,20,65
17,25,2,20,64
21,31,2,24,56
14,30,2,25,42
27,28,2,40,42
21,29,2,45,33
20,38,2,50,30
47,115,2,49,35
99,409,2,29,46
56,250,2,22,57
24,104,2,19,65
30,72,2,16,74
16,68,2,12,81
20,76,2,12,82
15,92,2,12,83
21,89,2,12,83
13,27,2,13,83
10,29,2,14,82
3,23,2,17,76
7,28,2,16,76
7,29,2,16,76
10,19,2,17,74
12,21,2,30,60
12,22,2,23,67
16,24,2,22,71
6,26,2,16,80
12,20,2,15,81
13,21,2,13,84
11,18,2,14,82
5,18,2,16,81
9,23,2,21,76
5,28,2,18,82
4,41,2,15,88
10,45,2,14,90
10,36,2,16,91
9,37,2,17,93
12,25,2,16,95
17,18,2,16,97
14,14,2,16,98
3,5,2,14,95
9,9,2,14,93
6,21,2,18,89
11,17,2,28,77
12,23,2,37,65
10,35,2,32,71
13,94,2,22,78
19,46,2,22,74
14,14,2,26,72
9,13,2,21,76
10,14,2,27,64
9,21,2,30,59
11,23,4,22,61
11,18,4,23,58
15,24,3,28,54
11,29,4,36,46
12,40,3,39,45
9,34,3,27,60
11,47,2,17,74
21,34,2,16,81
23,37,2,16,87
17,19,2,12,96
13,22,2,13,100
10,10,2,13,104
7,7,2,12,108
13,13,2,13,109
9,22,2,19,103
11,28,2,22,96
28,50,2,34,88
25,50,3,49,70
25,48,4,60,58
29,50,5,55,59
29,54,5,55,56
34,57,5,57,49
30,58,6,46,58
32,60,9,62,38
50,76,10,80,15
57,113,9,85,4
66,100,12,82,4
73,95,18,80,6
73,97,24,81,7
75,96,29,81,9
76,101,35,77,17
80,98,39,72,30
77,85,37,73,31
87,108,43,74,33
93,98,45,70,44
84,94,39,66,53
91,121,31,69,52
93,96,27,74,44
86,91,27,70,44
72,78,23,58,53
70,74,21,55,51
73,82,24,68,36
69,69,23,55,45
66,66,20,62,37
72,72,16,68,27
74,74,13,50,34
81,81,11,76,6
60,60,9,35,46
56,56,8,35,42
54,54,8,37,43
51,51,10,41,42
52,52,11,48,38
63,63,12,44,46
70,87,14,50,48
83,92,16,47,66
83,83,15,41,88
71,71,11,33,107
30,30,4,19,115
25,25,2,14,122
28,28,3,21,126
26,29,3,29,127
33,60,3,42,121
70,135,6,47,129
63,76,6,54,106
66,89,8,59,101
73,99,12,70,87
82,90,14,62,91
79,80,12,57,87
125,125,11,78,62
92,105,9,118,19
94,116,7,122,4
105,148,9,139,3
122,154,7,124,3
132,144,6,108,3
161,183,8,97,5
218,218,15,97,13
237,237,26,106,27
267,267,30,114,46
244,244,24,117,73
231,231,16,140,81
120,120,7,59,133
80,80,6,32,153
82,82,5,29,149
98,252,2,24,120
81,251,2,26,122
77,195,2,30,109
39,91,2,26,91
32,86,2,23,90
53,147,2,21,89
51,156,2,19,87
61,174,2,16,88
52,159,2,24,75
57,145,2,31,61
52,117,2,31,58
39,106,2,13,83
41,92,2,12,83
39,82,2,11,85
22,87,2,23,73
43,72,2,19,80
47,122,2,13,94
40,139,2,12,100
45,112,2,13,105
38,106,2,14,106
46,97,2,11,108
38,119,2,9,106
59,76,2,12,106
28,64,2,13,107
34,54,2,15,104
34,42,2,18,99
29,46,2,27,87
33,46,2,40,69
23,43,2,50,55
39,50,2,71,28
35,35,2,72,27
42,52,3,94,9
31,41,2,81,15
25,28,2,64,27
26,33,2,55,35
17,41,2,51,36
25,31,2,49,36
11,37,2,31,48
24,56,2,48,32
14,32,2,49,35
34,35,2,37,51
15,27,2,23,70
20,23,2,13,84
47,47,2,13,88
24,24,2,12,94
22,23,2,14,96
23,28,2,20,98
23,51,2,21,110
30,58,2,22,112
36,51,3,30,92
32,59,3,38,79
31,60,4,48,67
34,81,7,62,49
42,101,14,58,39
49,78,12,49,40
39,71,10,66,24
53,105,12,84,3
69,119,9,81,2
43,84,8,78,2
39,70,8,76,2
70,118,8,72,2
64,102,10,75,2
57,100,15,73,4
63,96,21,76,9
109,116,30,73,20
109,127,35,73,29
116,130,32,72,44
126,128,27,58,69
126,169,29,41,105
125,159,33,37,131
154,181,40,39,153
172,214,49,39,177
159,203,47,35,187
131,218,44,40,178
232,232,38,43,172
146,159,26,44,150
114,132,21,53,113
108,119,18,58,92
94,104,17,44,89
74,112,16,30,94
52,99,14,25,95
59,94,13,21,96
57,87,12,24,90
63,79,12,23,87
69,73,12,25,79
67,69,9,34,63
73,75,11,61,37
98,98,15,59,40
115,115,21,52,53
140,140,24,55,60
152,152,29,54,82
172,172,43,40,131
166,166,36,32,160
112,112,17,18,176
106,106,9,17,182
101,101,6,18,182
103,103,4,21,163
82,82,5,26,166
94,102,7,38,153
90,113,8,41,139
168,306,22,58,123
164,181,21,43,131
106,139,17,36,119
89,96,17,38,96
95,100,23,43,81
83,110,25,44,79
76,105,32,49,72
80,101,37,60,48
79,103,44,68,38
71,91,47,61,41
75,97,57,69,34
176,176,57,73,35
124,124,50,65,47
121,121,41,49,66
129,129,34,42,99
135,135,30,37,124
123,123,24,30,148
114,114,11,26,147
100,100,10,27,156
81,91,10,30,158
77,88,10,48,108
77,100,10,72,71
86,95,10,121,25
86,93,10,93,40
87,87,14,81,40
96,98,17,116,5
97,97,33,71,46
95,95,33,70,43
92,92,25,73,44
93,126,18,78,47
102,108,16,82,49
91,91,11,42,124
98,98,10,42,124
107,107,9,52,111
101,101,8,53,114
100,100,8,54,113
100,100,7,66,101
100,100,7,63,135
106,106,5,66,101
121,121,4,79,68
130,130,3,98,34
131,131,2,110,16
138,138,2,129,3
144,144,2,129,3
151,151,2,119,3
142,142,2,102,2
131,131,2,101,5
108,108,2,86,17
101,101,2,86,15
89,89,2,73,29
88,88,4,70,44
104,112,5,60,62
93,109,14,53,87
104,113,23,48,114
88,91,16,34,139
99,100,16,35,169
110,110,12,37,213
88,88,5,29,212
61,61,3,28,192
50,58,3,28,193
63,71,5,31,175
55,77,7,47,140
48,82,7,45,122
50,101,6,50,99
47,56,8,51,74
